event_id,ticker,company,dividend_per_share,currency,dividend_type,qualification_date,payment_date,closure_date,announcement_date,registrar,status,source_url,source_title,last_verified,confidence
f47b3de5651ae730,ZICHIS,ZICHIS AGRO ALLIED,0.2,NGN,dividend,2026-04-29,2026-04-29,,,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/ZICHIS_AGRO_ALLIED_-_AGM_RESOLUTIONS.pdf,ZICHIS AGRO ALLIED - AGM RESOLUTIONS,2026-09-13,review
f253fd2cdcfa2f3e,ZICHIS,ZICHIS AGRO ALLIED INDUSTRIES PLC,0.2,NGN,final,2026-05-07,2026-05-07,,,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/46596_ZICHIS_AGRO_ALLIED_INDUSTRIES_PLC-CORPORATE_ACTION_CORPORATE_ACTIONS_APRIL_2026.pdf,ZICHIS AGRO ALLIED INDUSTRIES PLC-CORPORATE ACTION CORPORATE ACTIONS APRIL 2026,2026-09-13,review
b6f68066c66febdb,SUNUASSUR,SUNU ASSURANCES NIGERIA PLC,0.1,NGN,final,,,,2024-12-31,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/43676_SUNU_ASSURANCES_NIGERIA_PLC-CORPORATE_ACTION_CORPORATE_ACTIONS_APRIL_2025.pdf,SUNU ASSURANCES NIGERIA PLC-CORPORATE ACTION CORPORATE ACTIONS APRIL 2025,2026-09-13,review
5412e35574661d92,ZENITHBANK,ZENITH BANK PLC-ZENITH BANK PLC ANNOUNCEMENT CORPORATE ACTIONS JANUARY 2025,0.04,NGN,final,2025-04-15,,,2025-01-30,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/43048_ZENITH_BANK_PLC-ZENITH_BANK_PLC_ANNOUNCEMENT_CORPORATE_ACTIONS_JANUARY_2025.pdf,ZENITH BANK PLC-ZENITH BANK PLC ANNOUNCEMENT CORPORATE ACTIONS JANUARY 2025,2026-09-13,review
d7380eddefcb3488,DANGCEM,DANGOTE CEMENT PLC,30.0,NGN,final,,,,2025-03-03,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/43251_DANGOTE_CEMENT_PLC-DIVIDEND_ANNOUCEMENT_CORPORATE_ACTIONS_MARCH_2025.pdf,DANGOTE CEMENT PLC-DIVIDEND ANNOUCEMENT CORPORATE ACTIONS MARCH 2025,2026-09-13,review
db1d95e8a40f9c96,CAP,CHEMICAL AND ALLIED PRODUCTS PLC-CAP PLC - CORPORATE ANNOUNCEMENT ON FYE2024 RESULTS CORPORATE ACTIONS MARCH 2025,0.024,NGN,dividend,2025-04-18,,,2025-03-27,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/43531_CHEMICAL_AND_ALLIED_PRODUCTS_PLC-CAP_PLC_-_CORPORATE_ANNOUNCEMENT_ON_FYE2024_RESULTS_CORPORATE_ACTIONS_MARCH_2025.pdf,CHEMICAL AND ALLIED PRODUCTS PLC-CAP PLC - CORPORATE ANNOUNCEMENT ON FYE2024 RESULTS CORPORATE ACTIONS MARCH 2025,2026-09-13,review
226839f8b4243c0a,GEREGU,GEREGU POWER PLC,8.5,NGN,final,2026-03-13,2025-03-28,,2025-03-28,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/43016_GEREGU_POWER_PLC-CORPORATE_ACTION_ANNOUNCEMENT_CORPORATE_ACTIONS_JANUARY_2025.pdf,GEREGU POWER PLC-CORPORATE ACTION ANNOUNCEMENT CORPORATE ACTIONS JANUARY 2025,2026-09-13,review
b225e16ea5522961,FIDSON,FIDSON HEALTHCARE PLC,1.0,NGN,final,,,,2025-04-02,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/43673_FIDSON_HEALTHCARE_PLC-ANNOUNCEMENT_OF_DIVIDEND_RECOMMENDATION_CORPORATE_ACTIONS_APRIL_2025.pdf,FIDSON HEALTHCARE PLC-ANNOUNCEMENT OF DIVIDEND RECOMMENDATION CORPORATE ACTIONS APRIL 2025,2026-09-13,review
3797e089a03e6d03,SEPLAT,SEPLAT ENERGY PLC,0.046,NGN,interim,2025-04-28,,,2025-04-28,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/44853_SEPLAT_ENERGY_PLC-ANNOUNCEMENT_OF_CURRENCY_EXCHANGE_RATE_FOR_Q2_2025_INTERIM_DIVIDEND__CORPORATE_ACTIONS_AUGUST_2025.pdf,SEPLAT ENERGY PLC-ANNOUNCEMENT OF CURRENCY EXCHANGE RATE FOR Q2 2025 INTERIM DIVIDEND CORPORATE ACTIONS AUGUST 2025,2026-09-13,review
068e2fd76dd3b9eb,ZENITHBANK,ZENITH BANK PLC-ZENITH BANK PLC ANNOUNCEMENT CORPORATE ACTIONS JULY 2025,0.0125,NGN,interim,2025-10-03,,,2025-07-24,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/44611_ZENITH_BANK_PLC-ZENITH_BANK_PLC_ANNOUNCEMENT__CORPORATE_ACTIONS_JULY_2025.pdf,ZENITH BANK PLC-ZENITH BANK PLC ANNOUNCEMENT CORPORATE ACTIONS JULY 2025,2026-09-13,review
70ed7c1d95319f9b,SEPLAT,SEPLAT ENERGY PLC-CORPORATE ANNOUNCEMENT ON H1 2025 INTERIM DIVIDEND PAYMENT CORPORATE ACTIONS JULY 2025,0.046,USD,interim,2025-07-30,,,2025-07-30,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/44705_SEPLAT_ENERGY_PLC-CORPORATE_ANNOUNCEMENT_ON_H1_2025_INTERIM_DIVIDEND_PAYMENT__CORPORATE_ACTIONS_JULY_2025.pdf,SEPLAT ENERGY PLC-CORPORATE ANNOUNCEMENT ON H1 2025 INTERIM DIVIDEND PAYMENT CORPORATE ACTIONS JULY 2025,2026-09-13,review
74f64f478d82bd0b,SEPLAT,SEPLAT ENERGY PLC-Q3 2025 INTERIM AND SPECIAL DIVIDEND PAYMENT CORPORATE ACTIONS OCTOBER 2025,0.025,USD,interim+special,,,,2025-10-30,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/45313_SEPLAT_ENERGY_PLC-Q3_2025_INTERIM_AND_SPECIAL_DIVIDEND_PAYMENT__CORPORATE_ACTIONS_OCTOBER_2025.pdf,SEPLAT ENERGY PLC-Q3 2025 INTERIM AND SPECIAL DIVIDEND PAYMENT CORPORATE ACTIONS OCTOBER 2025,2026-09-13,review
c4554b60093c76f9,ZENITHBANK,ZENITH BANK PLC-ZENITH BANK PLC,0.0875,NGN,final,2026-04-24,,,2026-01-29,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/45851_ZENITH_BANK_PLC-ZENITH_BANK_PLC_-_ANNOUNCEMENT__CORPORATE_ACTIONS_JANUARY_2026.pdf,ZENITH BANK PLC-ZENITH BANK PLC - ANNOUNCEMENT CORPORATE ACTIONS JANUARY 2026,2026-09-13,review
f30830c0f568e6d1,SEPLAT,Seplat Announcement on FY 2025 Final and Special Dividend,0.033,USD,final+special,2025-03-04,,,2026-02-26,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/Seplat_Announcement_on_FY_2025_Final_and_Special_Dividend.pdf,Seplat Announcement on FY 2025 Final and Special Dividend,2026-09-13,review
ebb57bcaff9d3ea3,CAP,INTERNATIONAL BREWERIES PLC.-NOTICE OF PROPOSED SHARE CAPITAL REDUCTION CORPORATE ACTIONS JULY 2026,0.04,NGN,dividend,2026-06-03,,,2026-03-27,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/47417_INTERNATIONAL_BREWERIES_PLC.-NOTICE_OF_PROPOSED_SHARE_CAPITAL_REDUCTION_CORPORATE_ACTIONS_JULY_2026.pdf,INTERNATIONAL BREWERIES PLC.-NOTICE OF PROPOSED SHARE CAPITAL REDUCTION CORPORATE ACTIONS JULY 2026,2026-09-13,review
50a224bcb2593d11,SEPLAT,SEPLAT ENERGY PLC,0.04,USD,interim+special,,,,2026-04-30,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/46861_SEPLAT_ENERGY_PLC-ANNOUNCEMENT_ON_Q1_2026_DIVIDENDS_CORPORATE_ACTIONS_APRIL_2026.pdf,SEPLAT ENERGY PLC-ANNOUNCEMENT ON Q1 2026 DIVIDENDS CORPORATE ACTIONS APRIL 2026,2026-09-13,review
4cf89ae6c8de4285,ACCESSCORP,ACCESS HOLDINGS PLC - CLARIFICATION ON NON PAYMENT OF DIVIDEND,0.020499999999999997,NGN,final,2025-04-29,,,2026-05-07,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/ACCESS_HOLDINGS_PLC_-_CLARIFICATION_ON_NON_PAYMENT_OF_DIVIDEND.pdf,ACCESS HOLDINGS PLC - CLARIFICATION ON NON PAYMENT OF DIVIDEND,2026-09-13,review
8074bbd377432de6,ETI,CONSOLIDATED HALLMARK HOLDINGS PLC-2026 ANNUAL GENERAL MEETING,0.15,NGN,final,,,,2026-05-22,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/47053_CONSOLIDATED_HALLMARK_HOLDINGS_PLC-2026_ANNUAL_GENERAL_MEETING_-_RESOLUTIONS_CORPORATE_ACTIONS_MAY_2026.pdf,CONSOLIDATED HALLMARK HOLDINGS PLC-2026 ANNUAL GENERAL MEETING - RESOLUTIONS CORPORATE ACTIONS MAY 2026,2026-09-13,review
836a6f7ee2d6c2e6,ETI,ECOBANK TRANSNATIONAL INCORPORATED,0.0016,USD,dividend,2026-06-12,,,2026-06-09,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/47145_ECOBANK_TRANSNATIONAL_INCORPORATED-AGM_2026_RESOLUTION_CORPORATE_ACTIONS_JUNE_2026.pdf,ECOBANK TRANSNATIONAL INCORPORATED-AGM 2026 RESOLUTION CORPORATE ACTIONS JUNE 2026,2026-09-13,review
cbaf378fb10af5f3,ETI,ECOBANK TRANSNATIONAL INCORPORATED-ECOBANK 1Q 2026 EARNINGS CORPORATE ACTIONS APRIL 2026,0.0016,NGN,dividend,2026-06-12,,,2026-06-09,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/46796_ECOBANK_TRANSNATIONAL_INCORPORATED-ECOBANK_1Q_2026_EARNINGS_CORPORATE_ACTIONS_APRIL_2026.pdf,ECOBANK TRANSNATIONAL INCORPORATED-ECOBANK 1Q 2026 EARNINGS CORPORATE ACTIONS APRIL 2026,2026-09-13,review
25072de22715ce36,ETI,ECOBANK TRANSNATIONAL INCORPORATED-NGX DIV ANNOUNCEMENT CORPORATE ACTIONS APRIL 2026,0.0016,USD,final,2026-06-12,,,2026-06-09,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/46670_ECOBANK_TRANSNATIONAL_INCORPORATED-NGX_DIV_ANNOUNCEMENT_CORPORATE_ACTIONS_APRIL_2026.pdf,ECOBANK TRANSNATIONAL INCORPORATED-NGX DIV ANNOUNCEMENT CORPORATE ACTIONS APRIL 2026,2026-09-13,review
6bc82691b099cd49,PRESCO,PRESCO PLC,14.66,NGN,final,2026-08-07,,,2026-07-29,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/47602_PRESCO_PLC-CORPORATE_ACTION_FY2025__CORPORATE_ACTIONS_JULY_2026.pdf,PRESCO PLC-CORPORATE ACTION FY2025 CORPORATE ACTIONS JULY 2026,2026-09-13,review
