ticker,company,price,updated_at
STANBIC,,153.00,2026-09-19 19:22 UTC
STERLINGNG,,7.65,2026-09-19 19:22 UTC
SUNUASSUR,,2.80,2026-09-19 19:22 UTC
TANTALIZER,,3.85,2026-09-19 19:22 UTC
THOMASWY,,2.30,2026-09-19 19:22 UTC
TIP,,25.55,2026-09-19 19:22 UTC
TOTAL,,576.00,2026-09-19 19:22 UTC
TRANSCOHOT,,265.50,2026-09-19 19:22 UTC
TRANSCORP,,34.65,2026-09-19 19:22 UTC
TRANSEXPR,,2.67,2026-09-19 19:22 UTC
TRANSPOWER,,178.00,2026-09-19 19:22 UTC
TRIPPLEG,,2.40,2026-09-19 19:22 UTC
UACN,,168.10,2026-09-19 19:22 UTC
UBA,,44.55,2026-09-19 19:22 UTC
UCAP,,17.20,2026-09-19 19:22 UTC
UHOMREIT,,70.00,2026-09-19 19:22 UTC
UNILEVER,,109.95,2026-09-19 19:22 UTC
UNIONDICON,,23.75,2026-09-19 19:22 UTC
UNITYBNK,,1.51,2026-09-19 19:22 UTC
UNIVINSURE,,0.77,2026-09-19 19:22 UTC
UPDC,,3.10,2026-09-19 19:22 UTC
UPDCREIT,,18.55,2026-09-19 19:22 UTC
UPL,,5.00,2026-09-19 19:22 UTC
VERITASKAP,,1.05,2026-09-19 19:22 UTC
VFDGROUP,,11.50,2026-09-19 19:22 UTC
VITAFOAM,,194.00,2026-09-19 19:22 UTC
WAPIC,,2.39,2026-09-19 19:22 UTC
WEMABANK,,32.00,2026-09-19 19:22 UTC
ZENITHBANK,,128.40,2026-09-19 19:22 UTC
ZICHIS,,15.70,2026-09-19 19:22 UTC
