date,ticker,close
2026-09-23,CORNERST,5.20
2026-09-23,CUSTODIAN,70.00
2026-09-23,CUTIX,2.39
2026-09-23,CWG,18.00
2026-09-23,DAARCOMM,1.38
2026-09-23,DANGCEM,1066.70
2026-09-23,DANGSUGAR,71.00
2026-09-23,EKOCORP,5.80
2026-09-23,ELLAHLAKES,8.45
2026-09-23,ENAMELWA,40.70
2026-09-23,ETERNA,38.50
2026-09-23,ETI,66.50
2026-09-23,ETRANZACT,12.50
2026-09-23,EUNISELL,189.00
2026-09-23,FCMB,11.10
2026-09-23,FIDELITYBK,20.10
2026-09-23,FIDSON,80.00
2026-09-23,FIRSTHOLDCO,165.00
2026-09-23,FTGINSURE,2.00
2026-09-23,FTNCOCOA,8.10
2026-09-23,GEREGU,825.70
2026-09-23,GOLDBREW,7.10
2026-09-23,GTCO,137.50
2026-09-23,GUINEAINS,0.75
2026-09-23,GUINNESS,384.80
2026-09-23,HBMNG,359.60
2026-09-23,HMCALL,3.28
2026-09-23,HONYFLOUR,16.85
2026-09-23,IKEJAHOTEL,44.50
2026-09-23,IMG,28.00
2026-09-23,INFINITY,11.25
2026-09-23,INTBREW,9.75
2026-09-23,INTENEGINS,2.30
2026-09-23,JAIZBANK,8.00
2026-09-23,JAPAULGOLD,2.60
2026-09-23,JBERGER,310.80
2026-09-23,JOHNHOLT,8.00
2026-09-23,JULI,6.55
2026-09-23,LASACO,1.80
2026-09-23,LEARNAFRCA,8.60
2026-09-23,LEGENDINT,3.60
2026-09-23,LINKASSURE,1.63
2026-09-23,LIVESTOCK,8.15
2026-09-23,LIVINGTRUST,2.60
2026-09-23,MANSARD,11.50
2026-09-23,MAYBAKER,41.30
2026-09-23,MBENEFIT,3.44
2026-09-23,MCNICHOLS,5.05
2026-09-23,MECURE,56.20
2026-09-23,MEYER,15.95
2026-09-23,MOFIREIF,100.00
2026-09-23,MORISON,10.40
2026-09-23,MTNN,855.00
2026-09-23,MULTITREX,0.36
2026-09-23,MULTIVERSE,19.20
2026-09-23,NAHCO,140.00
2026-09-23,NASCON,183.40
2026-09-23,NB,77.90
2026-09-23,NCR,161.20
2026-09-23,NEIMETH,8.30
2026-09-23,NEM,28.70
2026-09-23,NESTLE,2900.00
2026-09-23,NGXGROUP,185.00
2026-09-23,NIDF,147.70
2026-09-23,NNFM,79.40
2026-09-23,NPFMCRFBK,4.05
2026-09-23,NREIT,113.00
2026-09-23,NSLTECH,0.74
2026-09-23,OANDO,36.15
2026-09-23,OKOMUOIL,1276.20
2026-09-23,OMATEK,1.48
2026-09-23,PHARMDEKO,1.83
2026-09-23,PREMPAINTS,30.40
2026-09-23,PRESCO,2045.30
2026-09-23,PRESTIGE,1.38
2026-09-23,PZ,73.80
2026-09-23,REDSTAREX,14.75
2026-09-23,REGALINS,0.71
2026-09-23,RONCHESS,81.00
2026-09-23,ROYALEX,0.99
2026-09-23,RTBRISCOE,8.90
2026-09-23,SCOA,33.05
2026-09-23,SEPLAT,14907.80
2026-09-23,SFSREIT,418.75
2026-09-23,SKYAVN,171.20
2026-09-23,SOVRENINS,2.40
2026-09-23,STANBIC,164.00
2026-09-23,STERLINGNG,7.70
2026-09-23,SUNUASSUR,3.08
2026-09-23,TANTALIZER,3.89
2026-09-23,THOMASWY,2.78
2026-09-23,TIP,26.00
2026-09-23,TOTAL,576.00
2026-09-23,TRANSCOHOT,265.50
2026-09-23,TRANSCORP,37.00
2026-09-23,TRANSEXPR,3.00
2026-09-23,TRANSPOWER,178.00
2026-09-23,TRIPPLEG,2.30
2026-09-23,UACN,172.00
2026-09-23,UBA,46.00
2026-09-23,UCAP,17.10
2026-09-23,UHOMREIT,70.00
2026-09-23,UNILEVER,109.95
2026-09-23,UNIONDICON,23.75
2026-09-23,UNITYBNK,1.51
2026-09-23,UNIVINSURE,0.77
2026-09-23,UPDC,3.60
2026-09-23,UPDCREIT,18.55
2026-09-23,UPL,4.55
2026-09-23,VERITASKAP,1.04
2026-09-23,VFDGROUP,11.50
2026-09-23,VITAFOAM,194.00
2026-09-23,WAPIC,2.23
2026-09-23,WEMABANK,31.80
2026-09-23,ZENITHBANK,135.00
2026-09-23,ZICHIS,16.28
